CTYNAME,YEAR,TOT_POP,Not Hisp pop,NH Whites,NH Afr Am,NH Am Indian/Native,NH Asian,NH Native Hawaiian/other,NH Two or more,Hispanic,,,,,,,,,,,,
Routt County,2012,23285,21725,21126,108,69,148,16,258,1560,,,,,,,,,,,,
Routt County,2013,23612,21985,21326,136,75,171,17,260,1627,,,,,,,,,,,,
Routt County,2014,24083,22449,21720,155,73,199,24,278,1634,,,,,,,,,,,,
Routt County,2015,24422,22710,21953,175,82,184,24,292,1712,,,,,,,,,,,,
Routt County,2016,24787,23034,22244,185,75,194,27,309,1753,,,,,,,,,,,,
Routt County,2017,25346,23552,22724,198,74,206,21,329,1794,,,,,,,,,,,,
Routt County,2018,25733,23925,23053,223,82,222,22,323,1808,,,,,,,,,,,,
Saguache County,2010,6136,3692,3477,11,69,48,1,86,2444,,,,,,,,,,,,
Saguache County,2011,6187,3716,3493,13,65,52,1,92,2471,,,,,,,,,,,,
Saguache County,2012,6331,3849,3606,15,72,51,1,104,2482,,,,,,,,,,,,
Saguache County,2013,6242,3840,3579,27,74,51,3,106,2402,,,,,,,,,,,,
Saguache County,2014,6198,3848,3578,28,78,50,1,113,2350,,,,,,,,,,,,
Saguache County,2015,6251,3937,3643,43,80,52,1,118,2314,,,,,,,,,,,,
Saguache County,2016,6406,4099,3772,51,86,55,1,134,2307,,,,,,,,,,,,
Saguache County,2017,6643,4242,3908,50,96,52,2,134,2401,,,,,,,,,,,,
Saguache County,2018,6843,4386,4024,55,106,54,3,144,2457,,,,,,,,,,,,
San Juan County,2010,708,622,604,0,1,7,0,10,86,,,,,,,,,,,,
San Juan County,2011,690,593,575,0,1,6,0,11,97,,,,,,,,,,,,
San Juan County,2012,692,595,576,0,4,5,0,10,97,,,,,,,,,,,,
San Juan County,2013,691,593,573,0,5,5,0,10,98,,,,,,,,,,,,
San Juan County,2014,711,617,591,1,4,7,0,14,94,,,,,,,,,,,,
San Juan County,2015,688,589,563,2,1,7,0,16,99,,,,,,,,,,,,
San Juan County,2016,689,595,565,2,3,7,0,18,94,,,,,,,,,,,,
San Juan County,2017,711,625,596,1,5,6,0,17,86,,,,,,,,,,,,
San Juan County,2018,762,668,639,1,6,5,0,17,94,,,,,,,,,,,,
San Miguel County,2010,7357,6718,6511,20,34,55,4,94,639,,,,,,,,,,,,
San Miguel County,2011,7486,6803,6594,21,32,60,4,92,683,,,,,,,,,,,,
San Miguel County,2012,7581,6880,6664,24,35,62,4,91,701,,,,,,,,,,,,
San Miguel County,2013,7622,6908,6685,25,35,66,5,92,714,,,,,,,,,,,,
San Miguel County,2014,7740,7012,6757,38,43,68,4,102,728,,,,,,,,,,,,
San Miguel County,2015,7840,7032,6777,39,42,72,4,98,808,,,,,,,,,,,,
San Miguel County,2016,8023,7178,6911,40,45,77,4,101,845,,,,,,,,,,,,
San Miguel County,2017,8047,7204,6941,41,50,73,4,95,843,,,,,,,,,,,,
San Miguel County,2018,8191,7315,7039,46,52,73,4,101,876,,,,,,,,,,,,
Sedgwick County,2010,2371,2081,2027,7,9,17,0,21,290,,,,,,,,,,,,
Sedgwick County,2011,2371,2059,1997,8,10,20,0,24,312,,,,,,,,,,,,
Sedgwick County,2012,2377,2028,1964,11,10,19,0,24,349,,,,,,,,,,,,
Sedgwick County,2013,2339,1977,1911,12,10,18,0,26,362,,,,,,,,,,,,
Sedgwick County,2014,2333,1981,1910,14,14,19,0,24,352,,,,,,,,,,,,
Sedgwick County,2015,2375,1988,1909,13,15,22,0,29,387,,,,,,,,,,,,
Sedgwick County,2016,2405,2029,1950,17,11,21,0,30,376,,,,,,,,,,,,
Sedgwick County,2017,2334,1983,1901,15,13,18,0,36,351,,,,,,,,,,,,
Sedgwick County,2018,2303,1919,1835,17,14,18,0,35,384,,,,,,,,,,,,
Summit County,2010,28077,24053,23228,213,54,281,13,264,4024,,,,,,,,,,,,
Summit County,2011,28046,23929,23129,208,55,258,15,264,4117,,,,,,,,,,,,
Summit County,2012,28307,24213,23397,209,65,248,19,275,4094,,,,,,,,,,,,
Summit County,2013,28738,24666,23805,214,76,270,23,278,4072,,,,,,,,,,,,
Summit County,2014,29330,25180,24312,219,77,272,25,275,4150,,,,,,,,,,,,
Summit County,2015,30126,25800,24853,244,72,320,29,282,4326,,,,,,,,,,,,
Summit County,2016,30676,26357,25328,272,70,355,24,308,4319,,,,,,,,,,,,
Summit County,2017,31004,26555,25470,307,73,354,24,327,4449,,,,,,,,,,,,
Summit County,2018,31007,26487,25359,316,73,378,24,337,4520,,,,,,,,,,,,
Teller County,2010,23469,22138,21260,104,167,157,19,431,1331,,,,,,,,,,,,
Teller County,2011,23366,22049,21132,112,179,174,21,431,1317,,,,,,,,,,,,
Teller County,2012,23442,22094,21178,121,169,179,20,427,1348,,,,,,,,,,,,
Teller County,2013,23354,21974,21060,130,167,174,23,420,1380,,,,,,,,,,,,
Teller County,2014,23430,22043,21073,146,173,189,24,438,1387,,,,,,,,,,,,
Teller County,2015,23377,21914,20890,167,195,185,25,452,1463,,,,,,,,,,,,
Teller County,2016,24036,22487,21417,182,208,198,22,460,1549,,,,,,,,,,,,
Teller County,2017,24638,23075,21934,191,215,217,22,496,1563,,,,,,,,,,,,
Teller County,2018,25083,23388,22194,207,240,228,24,495,1695,,,,,,,,,,,,
Washington County,2010,4821,4416,4319,30,7,11,1,48,405,,,,,,,,,,,,
Washington County,2011,4762,4352,4247,33,9,11,1,51,410,,,,,,,,,,,,
Washington County,2012,4700,4267,4163,31,9,11,1,52,433,,,,,,,,,,,,
Washington County,2013,4742,4297,4191,32,10,11,1,52,445,,,,,,,,,,,,
Washington County,2014,4732,4286,4173,33,13,11,1,55,446,,,,,,,,,,,,
Washington County,2015,4786,4353,4225,43,13,11,1,60,433,,,,,,,,,,,,
Washington County,2016,4836,4387,4250,44,14,15,1,63,449,,,,,,,,,,,,
Washington County,2017,4936,4410,4256,56,15,15,1,67,526,,,,,,,,,,,,
Washington County,2018,4909,4396,4243,55,15,15,1,67,513,,,,,,,,,,,,
Weld County,2010,254198,181991,172130,2077,1440,2936,170,3238,72207,,,,,,,,,,,,
Weld County,2011,258783,185042,174704,2202,1453,3194,185,3304,73741,,,,,,,,,,,,
Weld County,2012,264058,188774,177749,2474,1496,3369,198,3488,75284,,,,,,,,,,,,
Weld County,2013,270126,192830,181412,2634,1522,3496,200,3566,77296,,,,,,,,,,,,
Weld County,2014,276037,196375,184410,2841,1365,3814,195,3750,79662,,,,,,,,,,,,
Weld County,2015,285033,202120,189266,3102,1406,4070,226,4050,82913,,,,,,,,,,,,
Weld County,2016,294965,208744,195079,3261,1477,4411,237,4279,86221,,,,,,,,,,,,
Weld County,2017,305274,215642,201095,3407,1536,4795,254,4555,89632,,,,,,,,,,,,
Weld County,2018,314305,221122,205687,3634,1580,5071,277,4873,93183,,,,,,,,,,,,
Yuma County,2010,10049,7964,7842,15,34,22,3,48,2085,,,,,,,,,,,,
Yuma County,2011,10134,7930,7787,23,38,24,3,55,2204,,,,,,,,,,,,
Yuma County,2012,10103,7939,7789,24,39,23,3,61,2164,,,,,,,,,,,,
Yuma County,2013,10135,7920,7769,27,42,23,7,52,2215,,,,,,,,,,,,
Yuma County,2014,10182,7928,7769,28,41,24,7,59,2254,,,,,,,,,,,,
Yuma County,2015,10050,7763,7599,34,42,22,3,63,2287,,,,,,,,,,,,
Yuma County,2016,10080,7788,7616,34,45,23,3,67,2292,,,,,,,,,,,,
Yuma County,2017,10015,7689,7501,36,42,27,3,80,2326,,,,,,,,,,,,
Yuma County,2018,10020,7624,7426,39,40,30,3,86,2396,,,,,,,,,,,,
